Unnamed: 0,name,birthdate,Day,Month,Year,Zodiac Sign,Zodiac Name
,Marino Katsouris,10-12-1994,10,12,1994.0,8,Sagittarius
,Rob Lipsett,17-01-1992,17,1,1992.0,9,Capricorn
,Shannen McGrath,05-01-1994,5,1,1994.0,9,Capricorn
,Steve Ball,,1,1,,9,Capricorn
,Simon Searles,15-03-1988,15,3,1988.0,11,Pisces
,Chloë Crowhurst,17-12-1996,17,12,1996.0,8,Sagittarius
,Jessica Lever,11-06-1993,11,6,1993.0,2,Gemini
,Tyne-Lexy Clarson,02-02-1997,2,2,1997.0,10,Aquarius
,Harley Judge,08-09-1994,8,9,1994.0,5,Virgo
,Dani Dyer,08-08-1996,8,8,1996.0,4,Leo
,Jack Fincham,09-05-1992,9,5,1992.0,1,Taurus
,Laura Anderson,27-04-1989,27,4,1989.0,1,Taurus
,Paul Knops,11-11-1986,11,11,1986.0,7,Scorpio
,Josh Denzel,22-06-1991,22,6,1991.0,3,Cancer
,Kaz Crossley,19-01-1994,19,1,1994.0,9,Capricorn
,Megan Barton Hanson,06-03-1994,6,3,1994.0,11,Pisces
,Wes Nelson,03-05-1998,3,5,1998.0,1,Taurus
,Alex George,15-02-1990,15,2,1990.0,10,Aquarius
,Alexandra Cane,09-06-1991,9,6,1991.0,2,Gemini
,Jack Fowler,01-01-1996,1,1,1996.0,9,Capricorn
,Laura Crane,17-01-1995,17,1,1995.0,9,Capricorn
,Josh Mair,22-10-1996,22,10,1996.0,6,Libra
,Stephanie Lam,13-03-1995,13,3,1995.0,11,Pisces
,Georgia Steel,28-03-1998,28,3,1998.0,0,Aries
,Sam Bird,28-11-1992,28,11,1992.0,8,Sagittarius
,Charlie Brake,05-01-1995,5,1,1995.0,9,Capricorn
,Ellie Brown,25-02-1998,25,2,1998.0,11,Pisces
,Idris Virgo,11-06-1993,11,6,1993.0,2,Gemini
,Kieran Nicholls,05-04-1992,5,4,1992.0,0,Aries
,Samira Mighty,16-11-1995,16,11,1995.0,7,Scorpio
,Frankie Foster,17-01-1996,17,1,1996.0,9,Capricorn
,Grace Wardle,20-08-1993,20,8,1993.0,4,Leo
,Adam Collard,27-10-1995,27,10,1995.0,7,Scorpio
,Alex Miller,21-02-1990,21,2,1990.0,11,Pisces
,Darylle Sargeant,24-09-1993,24,9,1993.0,6,Libra
,Ellie Jones,10-02-1996,10,2,1996.0,10,Aquarius
,Charlie Williams,16-03-1994,16,3,1994.0,11,Pisces
,Dean Overson,16-06-1993,16,6,1993.0,2,Gemini
,Jordan Adefeyisan,22-09-1995,22,9,1995.0,5,Virgo
,Savanna Darnell,28-10-1995,28,10,1995.0,7,Scorpio
,Zara McDermott,14-12-1996,14,12,1996.0,8,Sagittarius
,Eyal Booker,02-08-1995,2,8,1995.0,4,Leo
,Rosie Williams,26-09-1991,26,9,1991.0,6,Libra
,Charlie Frederick,10-11-1995,10,11,1995.0,7,Scorpio
,Hayley Hughes,27-06-1996,27,6,1996.0,3,Cancer
,Niall Aslam,13-07-1995,13,7,1995.0,3,Cancer
,Kendall Rae-Knight,28-01-1992,28,1,1992.0,10,Aquarius
,Amber Gill,04-08-1997,4,8,1997.0,4,Leo
,Greg O'Shea,23-03-1995,23,3,1995.0,0,Aries
,Molly-Mae Hague,25-05-1999,25,5,1999.0,2,Gemini
,Tommy Fury,07-05-1999,7,5,1999.0,1,Taurus
,India Reynolds,20-12-1990,20,12,1990.0,8,Sagittarius
,Ovie Soko,07-02-1991,7,2,1991.0,10,Aquarius
,Curtis Pritchard,08-02-1996,8,2,1996.0,10,Aquarius
,Maura Higgins,25-11-1990,25,11,1990.0,8,Sagittarius
,Anton Danyluk,06-09-1994,6,9,1994.0,5,Virgo
,Belle Hassan,06-03-1998,6,3,1998.0,11,Pisces
,Anna Vakili,09-07-1990,9,7,1990.0,3,Cancer
,Chris Taylor,31-07-1990,31,7,1990.0,4,Leo
,Harley Brash,05-10-1998,5,10,1998.0,6,Libra
,Jordan Hames,06-03-1995,6,3,1995.0,11,Pisces
,Francesca Allen,07-11-1995,7,11,1995.0,7,Scorpio
,Michael Griffiths,02-10-1991,2,10,1991.0,6,Libra
,Joanna Chimonides,15-10-1996,15,10,1996.0,6,Libra
,Marvin Brooks,06-08-1989,6,8,1989.0,4,Leo
,Amy Hart,19-07-1993,19,7,1993.0,3,Cancer
,George Rains,10-12-1996,10,12,1996.0,8,Sagittarius
,Lucie Donlan,22-02-1998,22,2,1998.0,11,Pisces
,Danny Williams,05-08-1997,5,8,1997.0,4,Leo
,Jourdan Riane,18-03-1995,18,3,1995.0,11,Pisces
,Dan Rose,25-05-1998,25,5,1998.0,2,Gemini
,Dennon Lewis,09-05-1997,9,5,1997.0,1,Taurus
,Lavena Back,15-12-1995,15,12,1995.0,8,Sagittarius
,Maria Wild,02-05-1997,2,5,1997.0,1,Taurus
,Nabila Badda,22-12-1989,22,12,1989.0,9,Capricorn
,Stevie Bradley,21-02-1998,21,2,1998.0,11,Pisces
,Arabella Chi,19-03-1991,19,3,1991.0,11,Pisces
,Tom Walker,01-01-1990,1,1,1990.0,9,Capricorn
,Yewande Biala,26-10-1995,26,10,1995.0,7,Scorpio
,Elma Pazar,07-07-1992,7,7,1992.0,3,Cancer
,Joe Garratt,25-08-1996,25,8,1996.0,5,Virgo
,Sherif Lanre,17-04-1999,17,4,1999.0,0,Aries
,Callum Macleod,01-09-1990,1,9,1990.0,5,Virgo
,Finley Tapp,09-11-1999,9,11,1999.0,7,Scorpio
,Paige Turley,14-08-1997,14,8,1997.0,4,Leo
,Luke Trotman,04-06-1997,4,6,1997.0,2,Gemini
,Siannise Fudge,05-07-1994,5,7,1994.0,3,Cancer
,Demi Jones,02-07-1998,2,7,1998.0,3,Cancer
,Luke Mabbott,04-05-1995,4,5,1995.0,1,Taurus
,Ched Uzor,27-07-1996,27,7,1996.0,4,Leo
,Jess Gale,08-05-1999,8,5,1999.0,1,Taurus
,Mike Boateng,04-08-1995,4,8,1995.0,4,Leo
,Priscilla Anyabu,07-12-1994,7,12,1994.0,8,Sagittarius
,Callum Jones,12-07-1996,12,7,1996.0,3,Cancer
,Molly Smith,25-04-1994,25,4,1994.0,1,Taurus
,Jamie Clayton,01-01-1991,1,1,1991.0,9,Capricorn
,Natalia Zoppa,05-07-1999,5,7,1999.0,3,Cancer
,Shaughna Phillips,11-04-1994,11,4,1994.0,0,Aries
,Eva Zapico,23-07-1998,23,7,1998.0,4,Leo
,Jordan Waobikeze,01-01-1995,1,1,1995.0,9,Capricorn
,Nas Majeed,24-02-1996,24,2,1996.0,11,Pisces
,Rebecca Gormley,18-04-1998,18,4,1998.0,0,Aries
,Alexi Eraclides,11-05-1996,11,5,1996.0,1,Taurus
,Biggs Chris,15-05-1992,15,5,1992.0,1,Taurus
,George Day,08-02-1992,8,2,1992.0,10,Aquarius
,Jade Affleck,28-11-1994,28,11,1994.0,8,Sagittarius
,Jamie McCann,03-01-1996,3,1,1996.0,9,Capricorn
,Josh Kempton,04-11-1998,4,11,1998.0,7,Scorpio
,Sophie Piper,27-10-1998,27,10,1998.0,7,Scorpio
,Wallace Wilson,04-11-1995,4,11,1995.0,7,Scorpio
,Leanne Amaning,02-06-1997,2,6,1997.0,2,Gemini
,Connor Durman,11-06-1994,11,6,1994.0,2,Gemini
,Connagh Howard,26-04-1992,26,4,1992.0,1,Taurus
,Eve Gale,08-05-1999,8,5,1999.0,1,Taurus
,Ollie Williams,18-01-1996,18,1,1996.0,9,Capricorn
,Liam Reardon,18-08-1999,18,8,1999.0,4,Leo
,Millie Court,04-12-1996,4,12,1996.0,8,Sagittarius
,Chloe Burrows,26-09-1995,26,9,1995.0,6,Libra
,Toby Aromolaran,03-03-1999,3,3,1999.0,11,Pisces
,Faye Winter,21-06-1995,21,6,1995.0,3,Cancer
,Teddy Soares,06-04-1995,6,4,1995.0,0,Aries
,Kaz Kamwi,27-10-1994,27,10,1994.0,7,Scorpio
,Tyler Cruickshank,12-05-1995,12,5,1995.0,1,Taurus
,Jake Cornish,17-04-1997,17,4,1997.0,0,Aries
,Liberty Poole,02-09-1999,2,9,1999.0,5,Virgo
,Aaron Simpson,07-03-1997,7,3,1997.0,11,Pisces
,Mary Bedford,14-07-1999,14,7,1999.0,3,Cancer
,Brett Staniland,28-11-1993,28,11,1993.0,8,Sagittarius
,Priya Gopaldas,26-10-1997,26,10,1997.0,7,Scorpio
,Matthew MacNabb,05-01-1995,5,1,1995.0,9,Capricorn
,Abigail Rawlings,28-02-1994,28,2,1994.0,11,Pisces
,Dale Mehmet,17-11-1996,17,11,1996.0,7,Scorpio
,Amy Day,15-12-1995,15,12,1995.0,8,Sagittarius
,Clarisse Juliette,02-05-1998,2,5,1998.0,1,Taurus
,Hugo Hammond,07-08-1996,7,8,1996.0,4,Leo
,Sam Jackson,07-03-1998,7,3,1998.0,11,Pisces
,Harry Young,24-04-1997,24,4,1997.0,1,Taurus
,Jack Barlow,08-06-1995,8,6,1995.0,2,Gemini
,Kaila Troy,16-02-1993,16,2,1993.0,10,Aquarius
,Lillie Haynes,10-11-1998,10,11,1998.0,7,Scorpio
,Medhy Malanda,25-03-1997,25,3,1997.0,0,Aries
,Salma Naran,30-05-2001,30,5,2001.0,2,Gemini
,Aaron Francis,29-09-1996,29,9,1996.0,6,Libra
,Lucinda Strafford,04-11-1999,4,11,1999.0,7,Scorpio
,Georgia Townend,01-01-1993,1,1,1993.0,9,Capricorn
,Andrea-Jane Bunker,09-12-1992,9,12,1992.0,8,Sagittarius
,Danny Bibby,28-11-1995,28,11,1995.0,8,Sagittarius
,Sharon Gaffka,01-12-1995,1,12,1995.0,8,Sagittarius
,Brad McClelland,10-06-1995,10,6,1995.0,2,Gemini
,Rachel Finni,25-04-1992,25,4,1992.0,1,Taurus
,Oliver Wallis,03-04-1998,3,4,1998.0,0,Aries
,Shannon Singh,07-07-1998,7,7,1998.0,3,Cancer
,Davide Sanclimenti,01-01-1995,1,1,1995.0,9,Capricorn
,Ekin-Su Cülcüloğlu,21-08-1994,21,8,1994.0,4,Leo
,Gemma Owen,01-05-2003,1,5,2003.0,1,Taurus
,Luca Bish,14-05-1999,14,5,1999.0,1,Taurus
,Dami Hope,27-03-1996,27,3,1996.0,0,Aries
,Indiyah Polack,11-12-1998,11,12,1998.0,8,Sagittarius
,Andrew Le Page,08-03-1995,8,3,1995.0,11,Pisces
,Tasha Ghouri,11-08-1998,11,8,1998.0,4,Leo
,Adam Collard,27-10-1995,27,10,1995.0,7,Scorpio
,Paige Thorne,14-09-1997,14,9,1997.0,5,Virgo
,Danica Taylor,13-04-2001,13,4,2001.0,0,Aries
,Jamie Allen,25-05-1995,25,5,1995.0,2,Gemini
,Deji Adeniyi,14-11-1996,14,11,1996.0,7,Scorpio
,Lacey Edwards,09-11-1996,9,11,1996.0,7,Scorpio
,Nathalia Campos,14-10-1999,14,10,1999.0,6,Libra
,Reece Ford,28-11-1998,28,11,1998.0,8,Sagittarius
,Billy Brown,09-05-1999,9,5,1999.0,1,Taurus
,Summer Botwe,15-03-2000,15,3,2000.0,11,Pisces
,Coco Lodge,07-01-1995,7,1,1995.0,9,Capricorn
,Josh Le Grove,02-10-1999,2,10,1999.0,6,Libra
,Jacques O'Neill,08-05-1999,8,5,1999.0,1,Taurus
,Chyna Mills,24-11-1998,24,11,1998.0,8,Sagittarius
,Jay Younger,08-11-1993,8,11,1993.0,7,Scorpio
,Cheyanne Kerr,06-09-1998,6,9,1998.0,5,Virgo
,George Tasker,07-07-1998,7,7,1998.0,3,Cancer
,Jack Keating,15-03-1999,15,3,1999.0,11,Pisces
,Jazmine Nichol,28-10-2000,28,10,2000.0,7,Scorpio
,Mollie Salmon,,1,1,,9,Capricorn
,Samuel Agbiji,25-05-2000,25,5,2000.0,2,Gemini
,Antigoni Buxton,09-03-1996,9,3,1996.0,11,Pisces
,Charlie Radnedge,04-02-1994,4,2,1994.0,10,Aquarius
,Amber Beckford,29-05-1998,29,5,1998.0,2,Gemini
,Ikenna Ekwonna,22-02-1999,22,2,1999.0,11,Pisces
,Remi Lambert,02-03-2000,2,3,2000.0,11,Pisces
,Afia Tonkmor,08-08-1996,8,8,1996.0,4,Leo
,Liam Llewellyn,25-07-1999,25,7,1999.0,4,Leo
,Kai Fagan,21-06-1998,21,6,1998.0,3,Cancer
,Sanam Harrinanan,17-05-1998,17,5,1998.0,1,Taurus
,Lana Jenkins,09-11-1997,9,11,1997.0,7,Scorpio
,Ron Hall,20-08-1997,20,8,1997.0,4,Leo
,Samie Elishi,15-02-2000,15,2,2000.0,10,Aquarius
,Tom Clare,02-09-1999,2,9,1999.0,5,Virgo
,Shaq Muhammad,31-03-1998,31,3,1998.0,0,Aries
,Tanya Manhenga,31-01-2000,31,1,2000.0,10,Aquarius
,Jessie Wynter,28-09-1996,28,9,1996.0,6,Libra
,Will Young,03-09-1999,3,9,1999.0,5,Virgo
,Casey O'Gorman,31-10-1996,31,10,1996.0,7,Scorpio
,Rosie Seabrook,23-07-1998,23,7,1998.0,4,Leo
,Claudia Fogarty,09-08-1994,9,8,1994.0,4,Leo
,Keanan Brand,08-01-1999,8,1,1999.0,9,Capricorn
,Maxwell Samuda,16-04-1999,16,4,1999.0,0,Aries
,Olivia Hawkins,20-06-1995,20,6,1995.0,2,Gemini
,Martin Akinola,14-12-1995,14,12,1995.0,8,Sagittarius
,Bayley Mummery,03-07-1997,3,7,1997.0,3,Cancer
,Cynthia Otseh-Taiwo,24-08-1997,24,8,1997.0,5,Virgo
,Frankie Davey,24-12-2000,24,12,2000.0,9,Capricorn
,Kain Reed,28-11-2001,28,11,2001.0,8,Sagittarius
,Layla Al-Momani,09-11-1994,9,11,1994.0,7,Scorpio
,Lydia Karakyriakou,25-07-2000,25,7,2000.0,4,Leo
,Lynda Flix,20-06-2000,20,6,2000.0,2,Gemini
,Ryan Weekley,08-11-2000,8,11,2000.0,7,Scorpio
,Sammy James,01-04-1995,1,4,1995.0,0,Aries
,Ellie Spence,28-11-1997,28,11,1997.0,8,Sagittarius
,Jordan Odofin,14-05-1994,14,5,1994.0,1,Taurus
,Tanyel Revan,16-05-1996,16,5,1996.0,1,Taurus
,Aaron Waters,12-09-1997,12,9,1997.0,5,Virgo
,Spencer Wilks,,1,1,,9,Capricorn
,Zara Lackenby-Brown,12-08-1997,12,8,1997.0,4,Leo
,Anna-May Robey,12-05-2002,12,5,2002.0,1,Taurus
,Haris Namani,16-12-2001,16,12,2001.0,8,Sagittarius
,David Salako,13-02-1998,13,2,1998.0,10,Aquarius
,Jess Harding,12-09-2000,12,9,2000.0,5,Virgo
,Sammy Root,,1,1,,9,Capricorn
,Lochan Nowacki,,1,1,,9,Capricorn
,Whitney Adebayo,20-11-1997,20,11,1997.0,7,Scorpio
,Ella Thomas,23-04-2000,23,4,2000.0,1,Taurus
,Tyrique Hyde,08-04-1999,8,4,1999.0,0,Aries
,Molly Marsh,26-08-2001,26,8,2001.0,5,Virgo
,Zachariah Noble,13-06-1997,13,6,1997.0,2,Gemini
,Ella Barnes,20-09-1999,20,9,1999.0,5,Virgo
,Mitchel Taylor,10-06-1996,10,6,1996.0,2,Gemini
,Abi Moores,02-04-1998,2,4,1998.0,0,Aries
,Scott van-der-Sluis,09-01-2001,9,1,2001.0,9,Capricorn
,Amber Wise,28-01-2004,28,1,2004.0,10,Aquarius
,Josh Brocklebank,28-11-1996,28,11,1996.0,8,Sagittarius
,Kady McDermott,04-09-1995,4,9,1995.0,5,Virgo
,Ouzy See,25-08-1994,25,8,1994.0,5,Virgo
,Catherine Agbaje,23-06-2000,23,6,2000.0,3,Cancer
,Elom Ahlijah-Wilson,14-03-2001,14,3,2001.0,11,Pisces
,Leah Taylor,30-01-1996,30,1,1996.0,10,Aquarius
,Montel McKenzie,31-12-1997,31,12,1997.0,9,Capricorn
,Benjamin Noel,05-10-1996,5,10,1996.0,6,Libra
,Danielle Mazhindu,12-02-1998,12,2,1998.0,10,Aquarius
,Gabby Jeffery,13-09-1998,13,9,1998.0,5,Virgo
,Kodie Murphy,,1,1,,9,Capricorn
,Tink Reading,24-05-1997,24,5,1997.0,2,Gemini
,Zachary Ashford,09-11-1995,9,11,1995.0,7,Scorpio
,Mal Nicol,10-09-1997,10,9,1997.0,5,Virgo
,Mehdi Edno,,1,1,,9,Capricorn
,André Furtado,15-05-2002,15,5,2002.0,1,Taurus
,Charlotte Sumner,31-05-1993,31,5,1993.0,2,Gemini
,Ruchee Gurung,05-09-1998,5,9,1998.0,5,Virgo
,George Fensom,,1,1,,9,Capricorn
